,BusinessEntityID,CreditCardID,ModifiedDate
276,907,5439,2011-05-31
277,909,14599,2013-07-31
278,911,3498,2012-07-31
279,913,11717,2011-07-01
280,915,15076,2012-06-30
281,919,10919,2012-12-31
282,921,8965,2013-08-30
283,923,15586,2011-12-01
284,925,17132,2011-08-01
285,927,782,2012-07-31
286,929,11441,2012-05-30
287,931,14562,2012-05-30
288,933,19181,2011-07-01
289,935,15798,2011-07-01
290,937,10915,2012-07-31
291,939,706,2013-05-30
292,941,4662,2013-06-30
293,943,5710,2012-05-30
294,945,9386,2013-06-30
295,947,1699,2012-06-30
296,949,16754,2012-07-31
297,951,8850,2012-05-30
298,953,5868,2012-05-30
299,957,14803,2012-06-30
300,959,6191,2011-10-01
301,961,451,2012-06-30
302,963,11815,2011-07-01
303,965,5609,2011-10-31
304,969,18316,2011-07-01
305,971,15711,2013-06-30
306,973,4835,2011-07-01
307,975,16976,2012-06-30
308,977,10100,2012-07-31
309,979,12102,2011-07-01
310,981,8672,2012-05-30
311,983,18930,2013-07-31
312,985,10662,2012-06-30
313,987,7667,2012-06-30
314,989,12582,2013-07-31
315,991,2780,2012-06-30
316,993,17978,2013-07-31
317,995,3367,2013-08-30
318,997,8552,2011-08-01
319,999,15432,2013-07-31
320,1001,8217,2012-05-30
321,1003,5347,2013-07-31
322,1009,13366,2011-07-01
323,1011,15682,2011-10-31
324,1013,14140,2012-07-31
325,1015,7845,2011-08-01
326,1017,18153,2011-05-31
327,1019,6291,2013-07-31
328,1021,12279,2011-07-01
329,1023,2274,2013-06-30
330,1025,17324,2012-07-31
331,1027,10004,2012-06-30
332,1029,13694,2013-06-30
333,1031,14559,2011-07-01
334,1033,6881,2012-06-30
335,1035,8399,2013-05-30
336,1037,9314,2013-07-31
337,1039,18097,2012-07-31
338,1041,6535,2013-07-31
339,1043,14030,2011-05-31
340,1045,16281,2011-05-31
341,1047,13699,2012-08-30
342,1049,11886,2011-05-31
343,1051,6183,2012-06-30
344,1053,12371,2013-05-30
345,1055,16905,2011-07-01
346,1059,7719,2014-05-01
347,1061,18495,2012-07-31
348,1063,4432,2012-07-31
349,1065,18418,2011-08-01
350,1067,6083,2012-06-30
351,1069,17621,2012-06-30
352,1071,11888,2013-05-30
353,1073,12030,2012-07-31
354,1075,14790,2013-07-31
355,1077,8482,2013-07-31
356,1079,14234,2013-07-31
357,1081,11056,2011-08-01
358,1083,13939,2013-07-31
359,1085,1417,2011-05-31
360,1087,12299,2013-06-30
361,1089,10234,2011-07-01
362,1091,4443,2012-07-31
363,1093,18493,2013-06-30
364,1095,1402,2011-05-31
365,1099,7001,2013-05-30
366,1101,5279,2012-06-30
367,1105,8479,2012-10-30
368,1107,12177,2011-07-01
369,1109,7089,2013-07-31
370,1111,8043,2011-07-01
371,1113,9617,2012-07-31
372,1115,18675,2012-06-30
373,1117,6646,2011-12-01
374,1119,5651,2012-01-29
375,1121,59,2013-06-30
376,1125,16665,2011-07-01
377,1127,10520,2012-08-30
378,1129,7831,2013-06-30
379,1131,10899,2012-07-31
380,1133,11840,2011-07-01
381,1135,8991,2011-07-01
382,1137,11679,2012-05-30
383,1139,4218,2013-06-30
384,1141,19174,2012-06-30
385,1143,14219,2014-05-01
386,1145,17174,2013-05-30
387,1147,8882,2011-08-01
388,1149,5102,2012-07-31
389,1151,18419,2013-05-30
390,1153,11744,2012-05-30
391,1155,15771,2012-06-30
392,1157,5434,2013-07-31
393,1159,10909,2013-07-31
394,1161,11984,2012-05-30
395,1163,8663,2011-07-01
396,1165,9212,2013-07-31
397,1167,12808,2012-07-31
398,1169,18707,2011-08-01
399,1171,2668,2013-01-28
400,1173,2470,2011-07-01
401,1175,9540,2011-08-31
402,1177,3586,2013-07-31
403,1181,2364,2011-07-01
404,1183,5093,2011-05-31
405,1185,13693,2011-05-31
406,1187,5215,2012-07-31
407,1191,11072,2011-07-01
408,1195,5424,2013-05-30
409,1197,9949,2013-05-30
410,1199,3815,2012-06-30
411,1201,10191,2012-06-30
412,1203,11215,2011-08-01
413,1205,806,2011-05-31
414,1209,12107,2013-06-30
415,1211,18428,2012-10-30
416,1213,9973,2011-07-01
417,1215,1553,2012-07-31
418,1217,16978,2012-07-31
419,1219,15927,2012-06-30
420,1223,18480,2011-07-01
421,1227,7475,2011-07-01
422,1229,8,2013-06-30
423,1231,1318,2013-06-30
424,1233,13779,2012-05-30
425,1235,14606,2012-06-30
426,1237,4552,2013-06-30
427,1239,267,2011-05-31
428,1241,5754,2012-06-30
429,1243,16253,2011-08-01
430,1245,16654,2011-10-31
431,1247,686,2013-07-31
432,1249,55,2013-07-31
433,1251,15105,2013-06-30
434,1253,13064,2012-06-30
435,1255,19043,2012-05-30
436,1257,5220,2011-08-01
437,1259,8091,2013-07-31
438,1261,12228,2013-06-30
439,1265,2504,2012-06-30
440,1269,5343,2011-07-01
441,1271,4272,2013-06-30
442,1273,13784,2012-07-31
443,1275,6280,2013-06-30
444,1277,10623,2012-07-31
445,1279,15648,2011-10-01
446,1281,8219,2013-07-31
447,1283,7764,2013-07-31
448,1285,9054,2013-07-31
449,1287,18047,2012-10-30
450,1289,5570,2012-06-30
451,1291,1298,2013-06-30
452,1293,5661,2012-05-30
453,1295,12933,2011-08-01
454,1297,3015,2013-07-31
455,1299,15144,2013-06-30
456,1301,14487,2013-05-30
457,1303,13035,2013-06-30
458,1305,17455,2013-07-31
459,1307,8033,2011-08-01
460,1309,6777,2011-07-01
461,1311,14454,2011-07-01
462,1315,7380,2012-06-30
463,1317,953,2013-07-31
464,1319,6981,2012-06-30
465,1321,5110,2011-08-01
466,1323,11814,2012-07-31
467,1325,2436,2012-06-30
468,1327,18364,2012-06-30
469,1329,15483,2012-07-31
470,1331,13712,2011-07-01
471,1333,5668,2012-07-31
472,1335,371,2012-07-31
473,1337,10163,2011-05-31
474,1339,4851,2012-07-31
475,1341,7182,2013-07-31
476,1343,3274,2011-07-01
477,1345,17036,2012-07-31
478,1349,8103,2011-07-01
479,1351,15735,2013-07-31
480,1353,9277,2013-07-31
481,1355,3788,2011-08-01
482,1357,19011,2011-08-01
483,1361,13420,2011-07-01
484,1363,7454,2011-08-01
485,1365,14535,2013-05-30
486,1367,15138,2012-07-31
487,1369,15018,2013-07-31
488,1371,15875,2011-08-31
489,1373,10370,2011-05-31
490,1375,14542,2012-07-31
491,1377,1866,2012-07-31
492,1379,1260,2013-06-30
493,1381,13088,2013-12-31
494,1383,8719,2013-06-30
495,1385,16132,2012-07-31
496,1387,15784,2012-05-30
497,1391,16704,2011-10-31
498,1393,15555,2012-06-30
499,1395,8235,2013-06-30
500,1397,3157,2012-06-30
501,1399,12198,2012-06-30
502,1403,7898,2013-05-30
503,1405,9855,2011-07-01
504,1407,5033,2012-09-30
505,1409,2687,2012-06-30
506,1411,10453,2012-09-30
507,1413,7176,2011-05-31
508,1415,16439,2012-06-30
509,1417,10456,2011-05-31
510,1419,4871,2013-06-30
511,1421,10395,2012-06-30
512,1423,15977,2012-06-30
513,1425,14895,2012-07-31
514,1427,3600,2012-05-30
515,1429,6156,2012-05-30
516,1431,18946,2013-08-30
517,1433,106,2013-06-30
518,1435,15448,2011-08-01
519,1437,4842,2011-07-01
520,1439,17341,2013-06-30
521,1441,10139,2013-07-31
522,1443,14153,2012-07-31
523,1447,18744,2013-04-30
524,1449,5690,2012-06-30
525,1453,18831,2011-10-01
526,1455,4459,2011-10-01
527,1457,11652,2011-10-01
528,1459,7347,2011-10-31
529,1461,17185,2013-06-30
530,1463,1642,2013-06-30
531,1465,7029,2012-09-30
532,1467,3904,2012-06-30
533,1469,17239,2012-05-30
534,1471,12550,2012-07-31
535,1473,6536,2013-07-31
536,1475,14152,2013-06-30
537,1477,18386,2011-10-01
538,1479,3453,2012-06-30
539,1481,7672,2013-06-30
540,1483,6295,2013-07-31
541,1485,2082,2012-06-30
542,1489,17982,2013-07-31
543,1699,16578,2013-07-31
544,1700,15455,2014-05-05
545,1701,3243,2012-03-06
546,1702,1133,2011-09-26
547,1703,1188,2012-03-17
548,1704,2853,2012-01-14
549,1705,7649,2013-09-27
550,1706,6018,2014-06-15
551,1707,11094,2013-07-11
552,1708,4739,2014-01-01
553,1709,1994,2014-04-17
554,1710,1643,2012-07-11
555,1711,1934,2014-02-09
556,1712,7916,2012-08-02
557,1713,18844,2013-11-28
558,1714,10306,2014-06-18
559,1715,1433,2013-12-07
560,1716,1016,2014-05-01
561,1717,11004,2014-03-02
562,1718,9627,2014-03-23
563,1719,9055,2012-03-15
564,1720,2236,2012-07-09
565,1721,13828,2013-09-10
566,1722,18395,2013-04-08
567,1723,17144,2013-12-08
568,1724,9954,2012-09-01
569,1725,4694,2013-12-26
570,1726,6476,2014-01-06
571,1727,15706,2013-11-23
572,1728,17100,2013-12-23
573,1729,18632,2013-01-16
574,1730,17334,2012-02-28
575,1731,17851,2014-05-31
576,1732,10732,2011-12-21
577,1733,2352,2013-08-31
578,1734,12836,2014-02-18
579,1735,4285,2012-06-15
580,1736,3767,2013-05-03
581,1737,847,2013-08-31
582,1738,3571,2013-09-06
583,1739,92,2014-02-11
584,1740,18914,2012-12-08
585,1741,15389,2014-01-31
586,1742,5233,2014-02-17
587,1743,1405,2013-07-21
588,1744,15322,2014-03-28
589,1745,3396,2011-08-30
590,1746,749,2013-03-27
591,1747,11533,2013-12-14
592,1748,5229,2014-05-20
593,1749,8309,2013-07-10
594,1750,2583,2013-05-06
595,1751,3819,2014-03-20
596,1752,8584,2014-02-23
597,1753,7245,2014-03-20
598,1754,17325,2013-09-02
599,1755,9850,2012-05-27
600,1756,18892,2012-07-25
601,1757,15055,2012-12-07
602,1758,14908,2013-11-26
603,1759,9669,2013-11-14
604,1760,13682,2013-07-05
605,1761,16311,2014-01-28
606,1762,3868,2013-12-20
607,1763,7563,2014-01-27
608,1764,18984,2014-05-15
609,1765,2457,2013-10-30
610,1766,2911,2014-04-25
611,1767,9143,2014-05-02
612,1768,8711,2012-08-03
613,1769,16746,2011-09-16
614,1770,10049,2011-10-24
615,1771,9675,2014-05-14
616,1772,483,2013-11-01
617,1773,6545,2013-11-27
618,1774,17398,2012-10-26
619,1775,7173,2014-04-15
620,1776,5363,2013-05-03
621,1777,1488,2013-07-13
622,1778,14282,2013-09-21
623,1779,8017,2014-01-05
624,1780,17136,2013-05-20
625,1781,9580,2014-05-23
626,1782,4183,2013-03-12
627,1783,13094,2014-06-13
628,1784,15584,2012-02-21
629,1795,18037,2012-06-30
630,1797,5089,2012-07-31
631,1801,17263,2012-06-30
632,1803,15453,2013-07-31
633,1805,11599,2012-12-31
634,1807,10713,2013-07-31
635,1809,895,2013-07-31
636,1811,2058,2013-06-30
637,1813,5065,2013-06-30
638,1815,6546,2012-07-31
639,1817,13951,2013-07-31
640,1821,18656,2012-05-30
641,1823,2666,2012-12-31
642,1825,8784,2012-05-30
643,1827,10628,2011-07-01
644,1829,13971,2012-07-31
645,1831,18354,2012-06-30
646,1833,2658,2012-06-30
647,1835,9506,2012-07-31
648,1837,4626,2012-09-30
649,1839,14928,2012-05-30
650,1841,4304,2012-07-31
651,1843,1651,2012-07-31
652,1845,18825,2013-05-30
653,1849,13349,2011-05-31
654,1851,1446,2013-07-31
655,1855,14226,2013-06-30
656,1857,14975,2012-06-30
657,1859,1896,2011-07-01
658,1861,1324,2012-05-30
659,1863,3088,2011-10-01
660,1865,14595,2013-06-30
661,1867,15155,2012-06-30
662,1869,2318,2013-06-30
663,1871,9141,2013-06-30
664,1873,1444,2013-06-30
665,1875,11685,2012-04-30
666,1877,1862,2012-05-30
667,1879,2880,2013-07-31
668,1881,3980,2011-05-31
669,1883,7079,2011-08-01
670,1885,5666,2013-07-31
671,1887,15177,2013-05-30
672,1889,17491,2013-07-31
673,1891,10343,2013-07-31
674,1893,5804,2013-06-30
675,1895,18260,2011-07-01
676,1897,2571,2012-05-30
677,1899,4941,2011-07-01
678,1901,9959,2012-06-30
679,1903,1772,2013-06-30
680,1905,206,2013-10-30
681,1909,8263,2013-07-31
682,1911,10928,2013-10-30
683,1913,10305,2013-07-31
684,1915,3653,2012-07-31
685,1917,2519,2011-05-31
686,1923,12671,2012-06-30
687,1925,10156,2013-06-30
688,1927,11119,2013-07-31
689,1929,17915,2011-08-01
690,1931,4385,2013-07-31
691,1933,7126,2011-08-01
692,1935,6005,2011-07-01
693,1937,5467,2013-07-31
694,1939,11050,2013-06-30
695,1943,3059,2012-06-30
696,1945,13104,2011-07-01
697,1947,10,2011-08-31
698,1949,11179,2013-07-31
699,1951,4260,2012-05-30
700,1953,12779,2013-04-30
701,1955,3368,2011-07-01
702,1957,4855,2013-06-30
703,1959,4834,2012-10-30
704,1961,336,2012-06-30
705,1963,10422,2012-05-30
706,1965,14468,2012-07-31
707,1967,7160,2011-08-01
708,1969,6386,2011-07-01
709,1971,8292,2012-06-30
710,1975,17645,2012-05-30
711,1977,14133,2012-07-31
712,1979,569,2011-07-01
713,1981,9635,2012-06-30
714,1983,11645,2012-07-31
715,1985,12746,2012-05-30
716,1987,18911,2012-06-30
717,1989,11416,2013-05-30
718,1991,4623,2011-07-01
719,1993,16569,2012-07-31
720,2380,6791,2014-06-28
721,2381,13962,2014-04-20
722,2382,5196,2014-02-11
723,2383,1657,2014-01-05
724,2384,2391,2013-01-21
725,2385,10676,2014-02-15
726,2386,6465,2014-05-14
727,2387,759,2011-10-13
728,2388,14128,2013-01-20
729,2389,18606,2013-09-04
730,2390,12157,2012-11-17
731,2391,17735,2012-04-20
732,2392,3924,2013-04-01
733,2393,11415,2011-12-16
734,2394,175,2012-07-20
735,2395,9529,2013-05-13
736,2396,3824,2013-08-20
737,2397,12128,2013-10-06
738,2398,12978,2012-07-17
739,2399,5857,2011-11-27
740,2400,18171,2013-12-05
741,2401,3316,2014-05-15
742,2402,17464,2012-03-26
743,2403,17903,2013-05-19
744,2404,528,2012-07-12
745,2405,730,2014-06-05
746,2406,9249,2013-11-12
747,2407,7601,2014-05-22
748,2408,2902,2013-09-18
749,2409,16032,2011-07-21
750,2410,11144,2011-12-28
751,2411,2529,2014-06-04
752,2412,8590,2013-07-31
753,2413,11164,2014-02-16
754,2414,11294,2014-01-21
755,2415,4817,2013-09-27
756,2416,9099,2014-03-28
757,2417,2828,2014-03-02
758,2418,16443,2014-06-28
759,2419,12335,2013-11-18
760,2420,15288,2013-01-16
761,2421,4118,2013-10-02
762,2422,10059,2013-03-12
763,2423,14610,2013-09-18
764,2424,15777,2014-04-04
765,2425,14881,2013-10-19
766,2426,8374,2013-04-15
767,2427,9965,2013-12-19
768,2428,11987,2014-05-17
769,2429,11872,2012-01-09
770,2430,5865,2014-03-12
771,2431,5119,2014-03-12
772,2432,12975,2013-07-28
773,2433,4082,2014-04-15
774,2434,10454,2011-08-30
775,2435,3169,2013-12-16
776,2436,12125,2013-02-10
777,2437,17623,2013-04-10
778,2438,11890,2012-12-14
779,2439,1813,2013-11-17
780,2440,13288,2013-07-18
781,2441,16228,2014-03-03
782,2442,1947,2012-08-02
783,2443,1814,2011-11-04
784,2444,591,2013-09-02
785,2445,6359,2014-05-20
786,2446,7608,2014-05-06
787,2447,14894,2014-03-19
788,2448,3884,2013-12-13
789,2449,2220,2012-07-01
790,2450,3583,2014-02-15
791,2451,14075,2013-12-03
792,2452,18028,2014-05-07
793,2453,13629,2013-03-17
794,2454,5227,2012-07-07
795,2455,4568,2013-12-23
796,2456,3136,2012-06-28
797,2457,2948,2013-10-13
798,2458,18712,2014-05-03
799,2459,13763,2012-09-13
800,2460,9704,2013-08-07
801,2461,16479,2013-02-17
802,2462,10384,2012-03-02
803,2463,9430,2012-06-16
804,2464,9839,2013-11-21
805,2465,7290,2014-05-20
806,2466,1609,2013-08-06
807,2467,5786,2014-06-03
808,2468,12704,2013-11-07
809,2469,8890,2012-05-24
810,2470,3338,2013-12-17
811,2471,6786,2012-09-12
812,2472,13200,2011-08-23
813,2473,18235,2011-11-10
814,2474,12233,2013-10-18
815,2475,18363,2013-10-10
816,2476,12420,2014-06-21
817,2477,1095,2013-08-14
818,2478,5396,2014-04-17
819,2479,14252,2012-06-09
820,2480,9035,2013-12-26
821,2481,11768,2012-09-27
822,2482,805,2013-09-21
823,2483,6145,2014-03-06
824,2484,9761,2014-01-15
825,2485,15461,2012-10-27
826,2486,16848,2012-08-19
827,2487,16920,2013-04-20
828,2488,4747,2013-07-03
829,2489,140,2013-06-23
830,2490,6607,2013-09-06
831,2491,14739,2013-10-04
832,2492,5706,2012-06-28
833,2493,3120,2012-08-03
834,2494,13884,2014-01-31
835,2495,14171,2014-05-15
836,2496,12450,2013-03-14
837,2497,1060,2013-05-13
838,2498,8527,2013-11-08
839,2499,16485,2014-01-29
840,2500,1797,2013-07-26
841,2501,1903,2011-10-16
842,2502,10412,2013-10-02
843,2503,7204,2012-07-05
844,2504,18527,2014-03-01
845,2505,12425,2014-05-01
846,2506,2974,2013-09-08
847,2507,14904,2012-12-19
848,2508,3273,2013-09-02
849,2509,13808,2014-02-23
850,2510,239,2013-05-23
851,2511,594,2013-08-03
852,2512,10263,2012-05-21
853,2513,4363,2013-08-24
854,2514,3588,2013-11-22
855,2515,17799,2012-04-24
856,2516,2794,2013-05-09
857,2517,4910,2012-02-22
858,2518,18703,2013-05-14
859,2519,11635,2013-11-26
860,2520,14292,2013-10-30
861,2521,12801,2011-06-14
862,2522,7177,2014-02-27
863,2523,18634,2014-05-31
864,2524,446,2014-02-02
865,2525,14972,2012-11-30
866,2526,15638,2011-08-17
867,2527,6517,2012-04-15
868,2528,10948,2012-01-31
869,2529,3040,2013-04-01
870,2530,12467,2014-03-18
871,2531,4089,2012-09-09
872,2532,17744,2012-12-21
873,2533,7677,2014-04-12
874,2534,11871,2013-09-10
875,2535,16800,2014-02-25
876,2536,12325,2014-01-05
877,2537,18168,2013-10-25
878,2538,957,2012-05-08
879,2539,9266,2014-03-25
880,2540,8388,2013-09-17
881,2541,7653,2013-05-29
882,2542,16388,2013-03-19
883,2543,13320,2013-05-09
884,2544,17433,2014-04-25
885,2545,10757,2013-07-22
886,2546,9379,2012-02-12
887,2547,15263,2013-01-17
888,2548,9834,2014-01-17
889,2549,633,2014-05-25
890,2550,6197,2013-04-25
891,2551,18412,2013-12-08
892,2552,600,2012-01-22
893,2553,11611,2014-04-18
894,2554,16990,2013-12-15
895,2555,2619,2013-11-25
896,2556,14291,2011-08-24
897,2557,15973,2013-10-30
898,2558,3803,2011-06-22
899,2559,7518,2014-05-14
900,2560,2480,2011-06-21
901,2561,1459,2013-10-31
902,2562,18072,2011-11-07
903,2563,15917,2013-09-30
904,2564,18874,2012-08-07
905,2565,12849,2012-12-09
906,2566,12621,2012-11-12
907,2567,6951,2014-01-19
908,2568,10034,2013-09-03
909,2569,1629,2012-02-12
910,2570,7880,2013-04-18
911,2571,2136,2011-09-11
912,2572,6101,2013-11-03
913,2573,15002,2014-02-24
914,2574,11547,2012-05-06
915,2575,3637,2013-10-28
916,2576,7301,2013-08-08
917,2577,14769,2013-10-01
918,2578,7341,2011-11-20
919,2579,3150,2014-06-01
920,2580,11400,2014-03-20
921,2581,9986,2012-06-05
922,2582,15622,2013-12-20
923,2583,19053,2013-07-14
924,2584,6077,2013-08-30
925,2585,1685,2013-10-27
926,2586,7913,2014-03-16
927,2587,6166,2012-04-13
928,2588,8929,2013-10-25
929,2589,19227,2014-04-28
930,2590,5335,2012-12-14
931,2591,11946,2012-07-17
932,2592,6066,2013-03-19
933,2593,9640,2012-06-16
934,2594,4471,2014-01-26
935,2595,3207,2012-07-20
936,2596,791,2014-05-05
937,2597,16713,2013-10-04
938,2598,1485,2012-12-22
939,2599,17666,2013-08-26
940,2600,12752,2014-02-19
941,2601,9265,2014-01-18
942,2602,12184,2013-09-12
943,2603,3927,2012-11-10
944,2604,9413,2012-07-17
945,2605,8110,2013-08-06
946,2606,7955,2014-01-10
947,2607,16149,2013-08-01
948,2608,12795,2014-05-15
949,2609,5141,2011-11-15
950,2610,11777,2014-05-06
951,2611,1136,2013-07-24
952,2612,10250,2013-03-07
953,2613,4864,2014-05-29
