,CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
24,25,2011-06-01 00:00:00.000,USD,SAR,3.7507,3.7507,2011-06-01 00:00:00.000
25,26,2011-06-01 00:00:00.000,USD,VEB,634.25,634.24,2011-06-01 00:00:00.000
26,27,2011-06-02 00:00:00.000,USD,ARS,1.0,1.0004,2011-06-02 00:00:00.000
27,28,2011-06-02 00:00:00.000,USD,AUD,1.5592,1.5597,2011-06-02 00:00:00.000
28,29,2011-06-02 00:00:00.000,USD,BRL,1.9359,1.944,2011-06-02 00:00:00.000
29,30,2011-06-02 00:00:00.000,USD,CAD,1.4672,1.4734,2011-06-02 00:00:00.000
30,31,2011-06-02 00:00:00.000,USD,CNY,8.2781,8.2789,2011-06-02 00:00:00.000
31,32,2011-06-02 00:00:00.000,USD,DEM,1.8796,1.8802,2011-06-02 00:00:00.000
32,33,2011-06-02 00:00:00.000,USD,EUR,0.961,0.9615,2011-06-02 00:00:00.000
33,34,2011-06-02 00:00:00.000,USD,FRF,6.3041,6.3041,2011-06-02 00:00:00.000
34,35,2011-06-02 00:00:00.000,USD,GBP,0.6156,0.6163,2011-06-02 00:00:00.000
35,36,2011-06-02 00:00:00.000,USD,JPY,105.53,105.604,2011-06-02 00:00:00.000
36,37,2011-06-02 00:00:00.000,USD,MXN,9.355,9.355,2011-06-02 00:00:00.000
37,38,2011-06-02 00:00:00.000,USD,SAR,3.7505,3.757,2011-06-02 00:00:00.000
38,39,2011-06-02 00:00:00.000,USD,VEB,634.75,634.7999,2011-06-02 00:00:00.000
39,40,2011-06-03 00:00:00.000,USD,ARS,1.0,1.0,2011-06-03 00:00:00.000
40,41,2011-06-03 00:00:00.000,USD,AUD,1.5645,1.5634,2011-06-03 00:00:00.000
41,42,2011-06-03 00:00:00.000,USD,BRL,1.9295,1.925,2011-06-03 00:00:00.000
42,43,2011-06-03 00:00:00.000,USD,CAD,1.4672,1.4609,2011-06-03 00:00:00.000
43,44,2011-06-03 00:00:00.000,USD,CNY,8.2783,8.2782,2011-06-03 00:00:00.000
44,45,2011-06-03 00:00:00.000,USD,DEM,1.8811,1.8801,2011-06-03 00:00:00.000
45,46,2011-06-03 00:00:00.000,USD,EUR,0.9617,0.9617,2011-06-03 00:00:00.000
46,47,2011-06-03 00:00:00.000,USD,FRF,6.309,6.308,2011-06-03 00:00:00.000
47,48,2011-06-03 00:00:00.000,USD,GBP,0.6163,0.6159,2011-06-03 00:00:00.000
48,49,2011-06-03 00:00:00.000,USD,JPY,105.77,105.682,2011-06-03 00:00:00.000
49,50,2011-06-03 00:00:00.000,USD,MXN,9.346,9.3369,2011-06-03 00:00:00.000
50,51,2011-06-03 00:00:00.000,USD,SAR,3.7492,3.7416,2011-06-03 00:00:00.000
51,52,2011-06-03 00:00:00.000,USD,VEB,635.75,635.6599,2011-06-03 00:00:00.000
52,53,2011-06-04 00:00:00.000,USD,ARS,1.0,1.0004,2011-06-04 00:00:00.000
53,54,2011-06-04 00:00:00.000,USD,AUD,1.5667,1.567,2011-06-04 00:00:00.000
54,55,2011-06-04 00:00:00.000,USD,BRL,1.9319,1.937,2011-06-04 00:00:00.000
55,56,2011-06-04 00:00:00.000,USD,CAD,1.464,1.4673,2011-06-04 00:00:00.000
56,57,2011-06-04 00:00:00.000,USD,CNY,8.2784,8.2788,2011-06-04 00:00:00.000
57,58,2011-06-04 00:00:00.000,USD,DEM,1.8978,1.8984,2011-06-04 00:00:00.000
58,59,2011-06-04 00:00:00.000,USD,EUR,0.9704,0.9711,2011-06-04 00:00:00.000
59,60,2011-06-04 00:00:00.000,USD,FRF,6.3654,6.3658,2011-06-04 00:00:00.000
60,61,2011-06-04 00:00:00.000,USD,GBP,0.6185,0.6186,2011-06-04 00:00:00.000
61,62,2011-06-04 00:00:00.000,USD,JPY,106.11,106.182,2011-06-04 00:00:00.000
62,63,2011-06-04 00:00:00.000,USD,MXN,9.335,9.3369,2011-06-04 00:00:00.000
63,64,2011-06-04 00:00:00.000,USD,SAR,3.7507,3.7606,2011-06-04 00:00:00.000
64,65,2011-06-04 00:00:00.000,USD,VEB,636.25,636.33,2011-06-04 00:00:00.000
65,66,2011-06-05 00:00:00.000,USD,ARS,1.0,0.9995,2011-06-05 00:00:00.000
66,67,2011-06-05 00:00:00.000,USD,AUD,1.5642,1.5636,2011-06-05 00:00:00.000
67,68,2011-06-05 00:00:00.000,USD,BRL,1.933,1.925,2011-06-05 00:00:00.000
68,69,2011-06-05 00:00:00.000,USD,CAD,1.4641,1.4563,2011-06-05 00:00:00.000
69,70,2011-06-05 00:00:00.000,USD,CNY,8.2784,8.278,2011-06-05 00:00:00.000
70,71,2011-06-05 00:00:00.000,USD,DEM,1.9007,1.8997,2011-06-05 00:00:00.000
71,72,2011-06-05 00:00:00.000,USD,EUR,0.9718,0.9715,2011-06-05 00:00:00.000
72,73,2011-06-05 00:00:00.000,USD,FRF,6.3746,6.3742,2011-06-05 00:00:00.000
73,74,2011-06-05 00:00:00.000,USD,GBP,0.6179,0.6173,2011-06-05 00:00:00.000
74,75,2011-06-05 00:00:00.000,USD,JPY,106.42,106.403,2011-06-05 00:00:00.000
75,76,2011-06-05 00:00:00.000,USD,MXN,9.335,9.327,2011-06-05 00:00:00.000
76,77,2011-06-05 00:00:00.000,USD,SAR,3.7507,3.75,2011-06-05 00:00:00.000
77,78,2011-06-05 00:00:00.000,USD,VEB,636.25,636.25,2011-06-05 00:00:00.000
78,79,2011-06-06 00:00:00.000,USD,ARS,1.0,1.0005,2011-06-06 00:00:00.000
79,80,2011-06-06 00:00:00.000,USD,AUD,1.5645,1.5652,2011-06-06 00:00:00.000
80,81,2011-06-06 00:00:00.000,USD,BRL,1.933,1.9379,2011-06-06 00:00:00.000
81,82,2011-06-06 00:00:00.000,USD,CAD,1.4621,1.4661,2011-06-06 00:00:00.000
82,83,2011-06-06 00:00:00.000,USD,CNY,8.2784,8.2784,2011-06-06 00:00:00.000
83,84,2011-06-06 00:00:00.000,USD,DEM,1.8987,1.899,2011-06-06 00:00:00.000
84,85,2011-06-06 00:00:00.000,USD,EUR,0.9708,0.9716,2011-06-06 00:00:00.000
85,86,2011-06-06 00:00:00.000,USD,FRF,6.3678,6.3681,2011-06-06 00:00:00.000
86,87,2011-06-06 00:00:00.000,USD,GBP,0.6177,0.6179,2011-06-06 00:00:00.000
87,88,2011-06-06 00:00:00.000,USD,JPY,106.38,106.4479,2011-06-06 00:00:00.000
88,89,2011-06-06 00:00:00.000,USD,MXN,9.335,9.3439,2011-06-06 00:00:00.000
89,90,2011-06-06 00:00:00.000,USD,SAR,3.7509,3.7566,2011-06-06 00:00:00.000
90,91,2011-06-06 00:00:00.000,USD,VEB,636.25,636.2899,2011-06-06 00:00:00.000
91,92,2011-06-07 00:00:00.000,USD,ARS,1.0,0.9998,2011-06-07 00:00:00.000
92,93,2011-06-07 00:00:00.000,USD,AUD,1.5679,1.5678,2011-06-07 00:00:00.000
93,94,2011-06-07 00:00:00.000,USD,BRL,1.933,1.923,2011-06-07 00:00:00.000
94,95,2011-06-07 00:00:00.000,USD,CAD,1.4623,1.4604,2011-06-07 00:00:00.000
95,96,2011-06-07 00:00:00.000,USD,CNY,8.2784,8.2779,2011-06-07 00:00:00.000
96,97,2011-06-07 00:00:00.000,USD,DEM,1.8965,1.8957,2011-06-07 00:00:00.000
97,98,2011-06-07 00:00:00.000,USD,EUR,0.9697,0.969,2011-06-07 00:00:00.000
98,99,2011-06-07 00:00:00.000,USD,FRF,6.3605,6.3605,2011-06-07 00:00:00.000
99,100,2011-06-07 00:00:00.000,USD,GBP,0.6171,0.6163,2011-06-07 00:00:00.000
100,101,2011-06-07 00:00:00.000,USD,JPY,105.74,105.7159,2011-06-07 00:00:00.000
101,102,2011-06-07 00:00:00.000,USD,MXN,9.325,9.323,2011-06-07 00:00:00.000
102,103,2011-06-07 00:00:00.000,USD,SAR,3.7507,3.741,2011-06-07 00:00:00.000
103,104,2011-06-07 00:00:00.000,USD,VEB,636.3999,636.32,2011-06-07 00:00:00.000
104,105,2011-06-08 00:00:00.000,USD,ARS,1.0,1.0008,2011-06-08 00:00:00.000
105,106,2011-06-08 00:00:00.000,USD,AUD,1.5726,1.5734,2011-06-08 00:00:00.000
106,107,2011-06-08 00:00:00.000,USD,BRL,1.933,1.9339,2011-06-08 00:00:00.000
107,108,2011-06-08 00:00:00.000,USD,CAD,1.4658,1.4752,2011-06-08 00:00:00.000
108,109,2011-06-08 00:00:00.000,USD,CNY,8.2783,8.2786,2011-06-08 00:00:00.000
109,110,2011-06-08 00:00:00.000,USD,DEM,1.8967,1.8971,2011-06-08 00:00:00.000
110,111,2011-06-08 00:00:00.000,USD,EUR,0.9697,0.9706,2011-06-08 00:00:00.000
111,112,2011-06-08 00:00:00.000,USD,FRF,6.3611,6.3613,2011-06-08 00:00:00.000
112,113,2011-06-08 00:00:00.000,USD,GBP,0.6159,0.6163,2011-06-08 00:00:00.000
113,114,2011-06-08 00:00:00.000,USD,JPY,104.47,104.54,2011-06-08 00:00:00.000
114,115,2011-06-08 00:00:00.000,USD,MXN,9.3399,9.3399,2011-06-08 00:00:00.000
115,116,2011-06-08 00:00:00.000,USD,SAR,3.7507,3.7555,2011-06-08 00:00:00.000
116,117,2011-06-08 00:00:00.000,USD,VEB,636.75,636.84,2011-06-08 00:00:00.000
117,118,2011-06-09 00:00:00.000,USD,ARS,1.0,0.9998,2011-06-09 00:00:00.000
118,119,2011-06-09 00:00:00.000,USD,AUD,1.581,1.581,2011-06-09 00:00:00.000
119,120,2011-06-09 00:00:00.000,USD,BRL,1.929,1.9199,2011-06-09 00:00:00.000
120,121,2011-06-09 00:00:00.000,USD,CAD,1.4678,1.4588,2011-06-09 00:00:00.000
121,122,2011-06-09 00:00:00.000,USD,CNY,8.2783,8.2779,2011-06-09 00:00:00.000
122,123,2011-06-09 00:00:00.000,USD,DEM,1.9117,1.9109,2011-06-09 00:00:00.000
123,124,2011-06-09 00:00:00.000,USD,EUR,0.9774,0.977,2011-06-09 00:00:00.000
124,125,2011-06-09 00:00:00.000,USD,FRF,6.4115,6.4109,2011-06-09 00:00:00.000
125,126,2011-06-09 00:00:00.000,USD,GBP,0.6191,0.6189,2011-06-09 00:00:00.000
126,127,2011-06-09 00:00:00.000,USD,JPY,104.56,104.548,2011-06-09 00:00:00.000
127,128,2011-06-09 00:00:00.000,USD,MXN,9.307,9.2989,2011-06-09 00:00:00.000
128,129,2011-06-09 00:00:00.000,USD,SAR,3.7507,3.7502,2011-06-09 00:00:00.000
129,130,2011-06-09 00:00:00.000,USD,VEB,637.25,637.1699,2011-06-09 00:00:00.000
130,131,2011-06-10 00:00:00.000,USD,ARS,1.0,1.0004,2011-06-10 00:00:00.000
131,132,2011-06-10 00:00:00.000,USD,AUD,1.5768,1.5772,2011-06-10 00:00:00.000
132,133,2011-06-10 00:00:00.000,USD,BRL,1.9299,1.931,2011-06-10 00:00:00.000
133,134,2011-06-10 00:00:00.000,USD,CAD,1.4679,1.4738,2011-06-10 00:00:00.000
134,135,2011-06-10 00:00:00.000,USD,CNY,8.237,8.2379,2011-06-10 00:00:00.000
135,136,2011-06-10 00:00:00.000,USD,DEM,1.9192,1.9194,2011-06-10 00:00:00.000
136,137,2011-06-10 00:00:00.000,USD,EUR,0.9812,0.9812,2011-06-10 00:00:00.000
137,138,2011-06-10 00:00:00.000,USD,FRF,6.4366,6.4366,2011-06-10 00:00:00.000
138,139,2011-06-10 00:00:00.000,USD,GBP,0.6202,0.621,2011-06-10 00:00:00.000
139,140,2011-06-10 00:00:00.000,USD,JPY,104.41,104.459,2011-06-10 00:00:00.000
140,141,2011-06-10 00:00:00.000,USD,MXN,9.31,9.3109,2011-06-10 00:00:00.000
141,142,2011-06-10 00:00:00.000,USD,SAR,3.7507,3.7597,2011-06-10 00:00:00.000
142,143,2011-06-10 00:00:00.000,USD,VEB,637.5,637.57,2011-06-10 00:00:00.000
143,144,2011-06-11 00:00:00.000,USD,ARS,1.0,0.9991,2011-06-11 00:00:00.000
144,145,2011-06-11 00:00:00.000,USD,AUD,1.5701,1.5694,2011-06-11 00:00:00.000
145,146,2011-06-11 00:00:00.000,USD,BRL,1.9265,1.9219,2011-06-11 00:00:00.000
146,147,2011-06-11 00:00:00.000,USD,CAD,1.4672,1.4662,2011-06-11 00:00:00.000
147,148,2011-06-11 00:00:00.000,USD,CNY,8.237,8.2369,2011-06-11 00:00:00.000
148,149,2011-06-11 00:00:00.000,USD,DEM,1.9292,1.9287,2011-06-11 00:00:00.000
149,150,2011-06-11 00:00:00.000,USD,EUR,0.9864,0.9859,2011-06-11 00:00:00.000
150,151,2011-06-11 00:00:00.000,USD,FRF,6.4702,6.4695,2011-06-11 00:00:00.000
151,152,2011-06-11 00:00:00.000,USD,GBP,0.6208,0.62,2011-06-11 00:00:00.000
152,153,2011-06-11 00:00:00.000,USD,JPY,103.99,103.909,2011-06-11 00:00:00.000
153,154,2011-06-11 00:00:00.000,USD,MXN,9.3599,9.352,2011-06-11 00:00:00.000
154,155,2011-06-11 00:00:00.000,USD,SAR,3.7505,3.7492,2011-06-11 00:00:00.000
155,156,2011-06-11 00:00:00.000,USD,VEB,637.75,637.75,2011-06-11 00:00:00.000
156,157,2011-06-12 00:00:00.000,USD,ARS,1.0,1.0004,2011-06-12 00:00:00.000
157,158,2011-06-12 00:00:00.000,USD,AUD,1.5686,1.5687,2011-06-12 00:00:00.000
158,159,2011-06-12 00:00:00.000,USD,BRL,1.9239,1.927,2011-06-12 00:00:00.000
159,160,2011-06-12 00:00:00.000,USD,CAD,1.4678,1.4714,2011-06-12 00:00:00.000
160,161,2011-06-12 00:00:00.000,USD,CNY,8.237,8.2373,2011-06-12 00:00:00.000
161,162,2011-06-12 00:00:00.000,USD,DEM,1.9231,1.9236,2011-06-12 00:00:00.000
162,163,2011-06-12 00:00:00.000,USD,EUR,0.9832,0.9834,2011-06-12 00:00:00.000
163,164,2011-06-12 00:00:00.000,USD,FRF,6.4499,6.4505,2011-06-12 00:00:00.000
164,165,2011-06-12 00:00:00.000,USD,GBP,0.6231,0.6232,2011-06-12 00:00:00.000
165,166,2011-06-12 00:00:00.000,USD,JPY,101.85,101.923,2011-06-12 00:00:00.000
166,167,2011-06-12 00:00:00.000,USD,MXN,9.3599,9.3599,2011-06-12 00:00:00.000
167,168,2011-06-12 00:00:00.000,USD,SAR,3.7507,3.7524,2011-06-12 00:00:00.000
168,169,2011-06-12 00:00:00.000,USD,VEB,638.5,638.58,2011-06-12 00:00:00.000
169,170,2011-06-13 00:00:00.000,USD,ARS,1.0,0.9992,2011-06-13 00:00:00.000
170,171,2011-06-13 00:00:00.000,USD,AUD,1.5769,1.5767,2011-06-13 00:00:00.000
171,172,2011-06-13 00:00:00.000,USD,BRL,1.9239,1.9179,2011-06-13 00:00:00.000
172,173,2011-06-13 00:00:00.000,USD,CAD,1.4683,1.4644,2011-06-13 00:00:00.000
173,174,2011-06-13 00:00:00.000,USD,CNY,8.237,8.2367,2011-06-13 00:00:00.000
174,175,2011-06-13 00:00:00.000,USD,DEM,1.9265,1.9262,2011-06-13 00:00:00.000
175,176,2011-06-13 00:00:00.000,USD,EUR,0.9849,0.9844,2011-06-13 00:00:00.000
176,177,2011-06-13 00:00:00.000,USD,FRF,6.4614,6.4607,2011-06-13 00:00:00.000
177,178,2011-06-13 00:00:00.000,USD,GBP,0.6229,0.6227,2011-06-13 00:00:00.000
178,179,2011-06-13 00:00:00.000,USD,JPY,102.55,102.4929,2011-06-13 00:00:00.000
179,180,2011-06-13 00:00:00.000,USD,MXN,9.3599,9.358,2011-06-13 00:00:00.000
180,181,2011-06-13 00:00:00.000,USD,SAR,3.7507,3.7448,2011-06-13 00:00:00.000
181,182,2011-06-13 00:00:00.000,USD,VEB,638.5,638.4199,2011-06-13 00:00:00.000
182,183,2011-06-14 00:00:00.000,USD,ARS,1.0,1.0007,2011-06-14 00:00:00.000
183,184,2011-06-14 00:00:00.000,USD,AUD,1.5708,1.5708,2011-06-14 00:00:00.000
184,185,2011-06-14 00:00:00.000,USD,BRL,1.9239,1.925,2011-06-14 00:00:00.000
185,186,2011-06-14 00:00:00.000,USD,CAD,1.4724,1.4738,2011-06-14 00:00:00.000
186,187,2011-06-14 00:00:00.000,USD,CNY,8.237,8.2375,2011-06-14 00:00:00.000
187,188,2011-06-14 00:00:00.000,USD,DEM,1.9345,1.9353,2011-06-14 00:00:00.000
188,189,2011-06-14 00:00:00.000,USD,EUR,0.989,0.9897,2011-06-14 00:00:00.000
189,190,2011-06-14 00:00:00.000,USD,FRF,6.4882,6.4886,2011-06-14 00:00:00.000
190,191,2011-06-14 00:00:00.000,USD,GBP,0.6238,0.6243,2011-06-14 00:00:00.000
191,192,2011-06-14 00:00:00.000,USD,JPY,102.33,102.394,2011-06-14 00:00:00.000
192,193,2011-06-14 00:00:00.000,USD,MXN,9.3499,9.351,2011-06-14 00:00:00.000
193,194,2011-06-14 00:00:00.000,USD,SAR,3.7505,3.7595,2011-06-14 00:00:00.000
194,195,2011-06-14 00:00:00.000,USD,VEB,638.5,638.5299,2011-06-14 00:00:00.000
195,196,2011-06-15 00:00:00.000,USD,ARS,1.0,0.999,2011-06-15 00:00:00.000
196,197,2011-06-15 00:00:00.000,USD,AUD,1.5741,1.5739,2011-06-15 00:00:00.000
197,198,2011-06-15 00:00:00.000,USD,BRL,1.9239,1.9139,2011-06-15 00:00:00.000
198,199,2011-06-15 00:00:00.000,USD,CAD,1.4742,1.4723,2011-06-15 00:00:00.000
199,200,2011-06-15 00:00:00.000,USD,CNY,8.237,8.2367,2011-06-15 00:00:00.000
200,201,2011-06-15 00:00:00.000,USD,DEM,1.9393,1.9391,2011-06-15 00:00:00.000
201,202,2011-06-15 00:00:00.000,USD,EUR,0.9916,0.9907,2011-06-15 00:00:00.000
202,203,2011-06-15 00:00:00.000,USD,FRF,6.5042,6.5038,2011-06-15 00:00:00.000
203,204,2011-06-15 00:00:00.000,USD,GBP,0.6256,0.6247,2011-06-15 00:00:00.000
204,205,2011-06-15 00:00:00.000,USD,JPY,102.09,102.055,2011-06-15 00:00:00.000
205,206,2011-06-15 00:00:00.000,USD,MXN,9.3499,9.343,2011-06-15 00:00:00.000
206,207,2011-06-15 00:00:00.000,USD,SAR,3.7505,3.7496,2011-06-15 00:00:00.000
207,208,2011-06-15 00:00:00.000,USD,VEB,638.5,638.5,2011-06-15 00:00:00.000
208,209,2011-06-16 00:00:00.000,USD,ARS,1.0,1.0007,2011-06-16 00:00:00.000
209,210,2011-06-16 00:00:00.000,USD,AUD,1.5706,1.5712,2011-06-16 00:00:00.000
210,211,2011-06-16 00:00:00.000,USD,BRL,1.9239,1.933,2011-06-16 00:00:00.000
211,212,2011-06-16 00:00:00.000,USD,CAD,1.4744,1.4755,2011-06-16 00:00:00.000
212,213,2011-06-16 00:00:00.000,USD,CNY,8.237,8.2372,2011-06-16 00:00:00.000
213,214,2011-06-16 00:00:00.000,USD,DEM,1.9378,1.9379,2011-06-16 00:00:00.000
214,215,2011-06-16 00:00:00.000,USD,EUR,0.9908,0.9911,2011-06-16 00:00:00.000
215,216,2011-06-16 00:00:00.000,USD,FRF,6.4991,6.4999,2011-06-16 00:00:00.000
216,217,2011-06-16 00:00:00.000,USD,GBP,0.6252,0.6256,2011-06-16 00:00:00.000
217,218,2011-06-16 00:00:00.000,USD,JPY,102.34,102.406,2011-06-16 00:00:00.000
218,219,2011-06-16 00:00:00.000,USD,MXN,9.3499,9.3499,2011-06-16 00:00:00.000
219,220,2011-06-16 00:00:00.000,USD,SAR,3.7505,3.7545,2011-06-16 00:00:00.000
220,221,2011-06-16 00:00:00.000,USD,VEB,638.5,638.5499,2011-06-16 00:00:00.000
221,222,2011-06-17 00:00:00.000,USD,ARS,1.0,0.9991,2011-06-17 00:00:00.000
222,223,2011-06-17 00:00:00.000,USD,AUD,1.5792,1.5786,2011-06-17 00:00:00.000
223,224,2011-06-17 00:00:00.000,USD,BRL,1.9239,1.9219,2011-06-17 00:00:00.000
224,225,2011-06-17 00:00:00.000,USD,CAD,1.48,1.4702,2011-06-17 00:00:00.000
225,226,2011-06-17 00:00:00.000,USD,CNY,8.237,8.237,2011-06-17 00:00:00.000
226,227,2011-06-17 00:00:00.000,USD,DEM,1.9443,1.9441,2011-06-17 00:00:00.000
227,228,2011-06-17 00:00:00.000,USD,EUR,0.994,0.9939,2011-06-17 00:00:00.000
228,229,2011-06-17 00:00:00.000,USD,FRF,6.521,6.5208,2011-06-17 00:00:00.000
229,230,2011-06-17 00:00:00.000,USD,GBP,0.6254,0.6248,2011-06-17 00:00:00.000
230,231,2011-06-17 00:00:00.000,USD,JPY,102.57,102.542,2011-06-17 00:00:00.000
231,232,2011-06-17 00:00:00.000,USD,MXN,9.3499,9.348,2011-06-17 00:00:00.000
232,233,2011-06-17 00:00:00.000,USD,SAR,3.7505,3.7442,2011-06-17 00:00:00.000
233,234,2011-06-17 00:00:00.000,USD,VEB,638.5,638.48,2011-06-17 00:00:00.000
234,235,2011-06-18 00:00:00.000,USD,ARS,1.0,1.0001,2011-06-18 00:00:00.000
235,236,2011-06-18 00:00:00.000,USD,AUD,1.5823,1.5831,2011-06-18 00:00:00.000
236,237,2011-06-18 00:00:00.000,USD,BRL,1.9239,1.933,2011-06-18 00:00:00.000
237,238,2011-06-18 00:00:00.000,USD,CAD,1.4802,1.4861,2011-06-18 00:00:00.000
238,239,2011-06-18 00:00:00.000,USD,CNY,8.237,8.2378,2011-06-18 00:00:00.000
239,240,2011-06-18 00:00:00.000,USD,DEM,1.9531,1.9531,2011-06-18 00:00:00.000
240,241,2011-06-18 00:00:00.000,USD,EUR,0.9986,0.999,2011-06-18 00:00:00.000
241,242,2011-06-18 00:00:00.000,USD,FRF,6.5503,6.5511,2011-06-18 00:00:00.000
242,243,2011-06-18 00:00:00.000,USD,GBP,0.6248,0.6254,2011-06-18 00:00:00.000
243,244,2011-06-18 00:00:00.000,USD,JPY,102.47,102.477,2011-06-18 00:00:00.000
244,245,2011-06-18 00:00:00.000,USD,MXN,9.3499,9.358,2011-06-18 00:00:00.000
245,246,2011-06-18 00:00:00.000,USD,SAR,3.7505,3.7578,2011-06-18 00:00:00.000
246,247,2011-06-18 00:00:00.000,USD,VEB,638.5,638.5099,2011-06-18 00:00:00.000
247,248,2011-06-19 00:00:00.000,USD,ARS,1.0,0.9993,2011-06-19 00:00:00.000
248,249,2011-06-19 00:00:00.000,USD,AUD,1.5825,1.5822,2011-06-19 00:00:00.000
249,250,2011-06-19 00:00:00.000,USD,BRL,1.9239,1.9179,2011-06-19 00:00:00.000
250,251,2011-06-19 00:00:00.000,USD,CAD,1.4823,1.4817,2011-06-19 00:00:00.000
251,252,2011-06-19 00:00:00.000,USD,CNY,8.237,8.2367,2011-06-19 00:00:00.000
252,253,2011-06-19 00:00:00.000,USD,DEM,1.9519,1.9516,2011-06-19 00:00:00.000
253,254,2011-06-19 00:00:00.000,USD,EUR,0.998,0.9973,2011-06-19 00:00:00.000
254,255,2011-06-19 00:00:00.000,USD,FRF,6.5465,6.5456,2011-06-19 00:00:00.000
255,256,2011-06-19 00:00:00.000,USD,GBP,0.6248,0.6245,2011-06-19 00:00:00.000
256,257,2011-06-19 00:00:00.000,USD,JPY,102.85,102.784,2011-06-19 00:00:00.000
257,258,2011-06-19 00:00:00.000,USD,MXN,9.3499,9.345,2011-06-19 00:00:00.000
258,259,2011-06-19 00:00:00.000,USD,SAR,3.7505,3.7482,2011-06-19 00:00:00.000
259,260,2011-06-19 00:00:00.000,USD,VEB,638.5,638.4299,2011-06-19 00:00:00.000
260,261,2011-06-20 00:00:00.000,USD,ARS,1.0,1.0004,2011-06-20 00:00:00.000
261,262,2011-06-20 00:00:00.000,USD,AUD,1.5808,1.5817,2011-06-20 00:00:00.000
262,263,2011-06-20 00:00:00.000,USD,BRL,1.9239,1.9279,2011-06-20 00:00:00.000
263,264,2011-06-20 00:00:00.000,USD,CAD,1.4795,1.4872,2011-06-20 00:00:00.000
264,265,2011-06-20 00:00:00.000,USD,CNY,8.237,8.237,2011-06-20 00:00:00.000
265,266,2011-06-20 00:00:00.000,USD,DEM,1.951,1.9511,2011-06-20 00:00:00.000
266,267,2011-06-20 00:00:00.000,USD,EUR,0.9975,0.9977,2011-06-20 00:00:00.000
267,268,2011-06-20 00:00:00.000,USD,FRF,6.5431,6.5434,2011-06-20 00:00:00.000
268,269,2011-06-20 00:00:00.000,USD,GBP,0.6245,0.6251,2011-06-20 00:00:00.000
269,270,2011-06-20 00:00:00.000,USD,JPY,102.705,102.803,2011-06-20 00:00:00.000
270,271,2011-06-20 00:00:00.000,USD,MXN,9.3499,9.352,2011-06-20 00:00:00.000
271,272,2011-06-20 00:00:00.000,USD,SAR,3.7505,3.753,2011-06-20 00:00:00.000
272,273,2011-06-20 00:00:00.000,USD,VEB,638.5,638.5499,2011-06-20 00:00:00.000
273,274,2011-06-21 00:00:00.000,USD,ARS,1.0,0.9995,2011-06-21 00:00:00.000
274,275,2011-06-21 00:00:00.000,USD,AUD,1.58,1.579,2011-06-21 00:00:00.000
