,DueDate,CustomerID,SalesPersonID,BillToAddressID,ShipToAddressID,ShipMethodID,LocalID
43,2015-11-02,12452,-1,24318,24318,1,27784
44,2015-10-29,26097,-1,15189,15189,1,27785
45,2015-10-31,14914,-1,17327,17327,1,27786
46,2015-11-01,15017,-1,12037,12037,1,27787
47,2015-10-31,20985,-1,14946,14946,1,27788
48,2015-10-24,12010,-1,11727,11727,1,27789
49,2015-10-28,25948,-1,28964,28964,1,27790
50,2015-10-26,12904,-1,14771,14771,1,27791
51,2015-10-26,12184,-1,24991,24991,1,27792
52,2015-10-25,12762,-1,26756,26756,1,27793
53,2015-10-26,26096,-1,26097,26097,1,27794
54,2015-10-26,20625,-1,21924,21924,1,27795
55,2015-10-24,14978,-1,23754,23754,1,27796
56,2015-10-25,25945,-1,27107,27107,1,27797
57,2015-10-25,11494,-1,24721,24721,1,27798
58,2015-10-24,12769,-1,14758,14758,1,27799
59,2015-10-29,12789,-1,11489,11489,1,27800
60,2015-11-01,12707,-1,13761,13761,1,27801
61,2015-10-29,12761,-1,11796,11796,1,27802
62,2015-11-01,12450,-1,24602,24602,1,27803
63,2015-10-26,13536,-1,17717,17717,1,27804
64,2015-10-27,15668,-1,12015,12015,1,27805
65,2015-10-24,13552,-1,21905,21905,1,27806
66,2015-11-02,12243,-1,23418,23418,1,27807
67,2015-10-28,12338,-1,28634,28634,1,27808
68,2015-10-27,24757,-1,21055,21055,1,27809
69,2015-10-27,12913,-1,27080,27080,1,27810
70,2015-11-02,12178,-1,15571,15571,1,27811
71,2015-10-30,12186,-1,12952,12952,1,27812
72,2015-10-24,12187,-1,20285,20285,1,27813
73,2015-10-25,12188,-1,21495,21495,1,27814
74,2015-10-25,20622,-1,16769,16769,1,27815
75,2015-10-26,12252,-1,21751,21751,1,27816
76,2015-10-26,15050,-1,27856,27856,1,27817
77,2015-10-30,12448,-1,12188,12188,1,27818
78,2015-10-31,20035,-1,12866,12866,1,27819
79,2015-10-27,25946,-1,28027,28027,1,27820
80,2015-10-30,12773,-1,21445,21445,1,27821
81,2015-10-29,24664,-1,22954,22954,1,27822
82,2015-10-24,12912,-1,28278,28278,1,27823
83,2015-10-24,20818,-1,28864,28864,1,27824
84,2015-10-24,15691,-1,22394,22394,1,27825
85,2015-10-29,12037,-1,28753,28753,1,27826
86,2015-10-31,12039,-1,26110,26110,1,27827
87,2015-11-01,15080,-1,12108,12108,1,27828
88,2015-11-02,19027,-1,12417,12417,1,27829
89,2015-10-28,26098,-1,27722,27722,1,27830
90,2015-10-30,20823,-1,24897,24897,1,27831
91,2015-10-31,12240,-1,21713,21713,1,27832
92,2015-10-29,18047,-1,15163,15163,1,27833
93,2015-10-25,15460,-1,26381,26381,1,27834
94,2015-10-24,19930,-1,26256,26256,1,27835
95,2015-10-25,21193,-1,28275,28275,1,27836
96,2015-10-29,12349,-1,21490,21490,1,27837
97,2015-10-31,12355,-1,22866,22866,1,27838
98,2015-10-27,18125,-1,26562,26562,1,27839
99,2015-10-29,12947,-1,24303,24303,1,27840
100,2015-10-26,20577,-1,23621,23621,1,27841
101,2015-11-01,15457,-1,12212,12212,1,27842
102,2015-10-26,12929,-1,16461,16461,1,27843
103,2015-10-24,13032,-1,25287,25287,1,27844
104,2015-10-27,13039,-1,13787,13787,1,27845
105,2015-11-02,13142,-1,13420,13420,1,27846
106,2015-11-01,13208,-1,15876,15876,1,27847
107,2015-11-02,20208,-1,15306,15306,1,27848
108,2015-10-26,21166,-1,20963,20963,1,27849
109,2015-10-28,21206,-1,23870,23870,1,27850
110,2015-10-28,25961,-1,26111,26111,1,27851
111,2015-10-24,15114,-1,27787,27787,1,27852
112,2015-10-26,15116,-1,17335,17335,1,27853
113,2015-10-28,20576,-1,24958,24958,1,27854
114,2015-10-29,20186,-1,14657,14657,1,27855
115,2015-10-30,15199,-1,20049,20049,1,27856
116,2015-10-27,21200,-1,25732,25732,1,27857
117,2015-11-02,19172,-1,18213,18213,1,27858
118,2015-10-28,11484,-1,11986,11986,1,27859
119,2015-11-02,13592,-1,18476,18476,1,27860
120,2015-10-28,13779,-1,25016,25016,1,27861
121,2015-10-27,24778,-1,25328,25328,1,27862
122,2015-10-28,13093,-1,17424,17424,1,27863
123,2015-10-30,24976,-1,12104,12104,1,27864
124,2015-10-27,25046,-1,14583,14583,1,27865
125,2015-10-28,25048,-1,12658,12658,1,27866
126,2015-10-28,12570,-1,28242,28242,1,27867
127,2015-10-25,11604,-1,17216,17216,1,27868
128,2015-10-27,16046,-1,21903,21903,1,27869
129,2015-10-30,17095,-1,26870,26870,1,27870
130,2015-10-25,12918,-1,17858,17858,1,27871
131,2015-10-27,28663,-1,22893,22893,1,27872
132,2015-10-24,21191,-1,22422,22422,1,27873
133,2015-10-25,20999,-1,19016,19016,1,27874
134,2015-10-25,21002,-1,19026,19026,1,27875
135,2015-10-29,26019,-1,26645,26645,1,27876
136,2015-10-24,15100,-1,24422,24422,1,27877
137,2015-10-26,13992,-1,11601,11601,1,27878
138,2015-10-30,24781,-1,16208,16208,1,27879
139,2015-11-02,13060,-1,14511,14511,1,27880
140,2015-11-01,13226,-1,19068,19068,1,27881
141,2015-10-30,12346,-1,27199,27199,1,27882
142,2015-10-31,12576,-1,22669,22669,1,27883
143,2015-10-24,15699,-1,23545,23545,1,27884
144,2015-10-24,12980,-1,11711,11711,1,27885
145,2015-11-01,28766,-1,20116,20116,1,27886
146,2015-10-27,21183,-1,23779,23779,1,27887
147,2015-11-02,21199,-1,12307,12307,1,27888
148,2015-10-28,26252,-1,20259,20259,1,27889
149,2015-10-25,12350,-1,26080,26080,1,27890
150,2015-10-24,16054,-1,23810,23810,1,27891
151,2015-10-24,12934,-1,14437,14437,1,27892
152,2015-11-01,19931,-1,14673,14673,1,27893
153,2015-10-28,21215,-1,11679,11679,1,27894
154,2015-10-25,25958,-1,11856,11856,1,27895
155,2015-10-29,13993,-1,16058,16058,1,27896
156,2015-10-28,26174,-1,25833,25833,1,27897
157,2015-10-28,18130,-1,19042,19042,1,27898
158,2015-11-02,16033,-1,11499,11499,1,27899
159,2015-10-27,13986,-1,20651,20651,1,27900
160,2015-11-02,19924,-1,28540,28540,1,27901
161,2015-10-25,13063,-1,21148,21148,1,27902
162,2015-10-28,13202,-1,27837,27837,1,27903
163,2015-10-27,15191,-1,14102,14102,1,27904
164,2015-10-29,21216,-1,27537,27537,1,27905
165,2015-10-26,12573,-1,18357,18357,1,27906
166,2015-11-01,15702,-1,12312,12312,1,27907
167,2015-10-25,13068,-1,18080,18080,1,27908
168,2015-10-26,13161,-1,26398,26398,1,27909
169,2015-10-31,13173,-1,23235,23235,1,27910
170,2015-10-29,13225,-1,27489,27489,1,27911
171,2015-10-31,26249,-1,14719,14719,1,27912
172,2015-10-29,11610,-1,13252,13252,1,27913
173,2015-11-02,15929,-1,12568,12568,1,27914
174,2015-10-30,12942,-1,20253,20253,1,27915
175,2015-10-24,12975,-1,13647,13647,1,27916
176,2015-10-27,19069,-1,26570,26570,1,27917
177,2015-10-27,13178,-1,28201,28201,1,27918
178,2015-10-27,13190,-1,15460,15460,1,27919
179,2015-10-31,26201,-1,23177,23177,1,27920
180,2015-10-28,15195,-1,22201,22201,1,27921
181,2015-10-24,12342,-1,20039,20039,1,27922
182,2015-10-28,28506,-1,12303,12303,1,27923
183,2015-10-25,13016,-1,22288,22288,1,27924
184,2015-10-30,13083,-1,15912,15912,1,27925
185,2015-10-29,13214,-1,25944,25944,1,27926
186,2015-10-25,24977,-1,19277,19277,1,27927
187,2015-10-25,26234,-1,22271,22271,1,27928
188,2015-10-24,26247,-1,18663,18663,1,27929
189,2015-10-31,21201,-1,12647,12647,1,27930
190,2015-10-31,13662,-1,13164,13164,1,27931
191,2015-10-29,13019,-1,29115,29115,1,27932
192,2015-11-01,25094,-1,13889,13889,1,27933
193,2015-10-31,15188,-1,23131,23131,1,27934
194,2015-10-25,19052,-1,19734,19734,1,27935
195,2015-10-28,21195,-1,21920,21920,1,27936
196,2015-10-24,12347,-1,12059,12059,1,27937
197,2015-10-24,13766,-1,20130,20130,1,27938
198,2015-10-26,15622,-1,29131,29131,1,27939
199,2015-10-31,12941,-1,12255,12255,1,27940
200,2015-11-02,13069,-1,25860,25860,1,27941
201,2015-10-27,13152,-1,12379,12379,1,27942
202,2015-10-29,13165,-1,12816,12816,1,27943
203,2015-10-29,25093,-1,21580,21580,1,27944
204,2015-11-02,26121,-1,18946,18946,1,27945
205,2015-10-28,21211,-1,22126,22126,1,27946
206,2015-11-01,28510,-1,11613,11613,1,27947
207,2015-10-31,24824,-1,16645,16645,1,27948
208,2015-10-27,15155,-1,11483,11483,1,27949
209,2015-10-30,15193,-1,26069,26069,1,27950
210,2015-10-24,24608,-1,25439,25439,1,27951
211,2015-10-29,12575,-1,22030,22030,1,27952
212,2015-10-29,24786,-1,19342,19342,1,27953
213,2015-10-31,19910,-1,28128,28128,1,27954
214,2015-10-24,13066,-1,22313,22313,1,27955
215,2015-10-26,20188,-1,16917,16917,1,27956
216,2015-10-24,12360,-1,25915,25915,1,27957
217,2015-10-27,12923,-1,12914,12914,1,27958
218,2015-10-26,13768,-1,20876,20876,1,27959
219,2015-10-27,13769,-1,18392,18392,1,27960
220,2015-10-25,14003,-1,23599,23599,1,27961
221,2015-11-01,24817,-1,28492,28492,1,27962
222,2015-11-02,13058,-1,15438,15438,1,27963
223,2015-10-26,13174,-1,18041,18041,1,27964
224,2015-10-27,15166,-1,13499,13499,1,27965
225,2015-11-01,21168,-1,13103,13103,1,27966
226,2015-10-28,12343,-1,25383,25383,1,27967
227,2015-10-28,11603,-1,17358,17358,1,27968
228,2015-10-25,13575,-1,28870,28870,1,27969
229,2015-10-27,13793,-1,14438,14438,1,27970
230,2015-10-29,24960,-1,28311,28311,1,27971
231,2015-10-27,13221,-1,19934,19934,1,27972
232,2015-11-02,20209,-1,18686,18686,1,27973
233,2015-11-02,15194,-1,28389,28389,1,27974
234,2015-10-28,21192,-1,16691,16691,1,27975
235,2015-11-01,20997,-1,23040,23040,1,27976
236,2015-11-01,15117,-1,26911,26911,1,27977
237,2015-10-29,12935,-1,25674,25674,1,27978
238,2015-10-31,13064,-1,13557,13557,1,27979
239,2015-11-02,13067,-1,20845,20845,1,27980
240,2015-10-31,13205,-1,16749,16749,1,27981
241,2015-10-25,21180,-1,11994,11994,1,27982
242,2015-10-29,11550,-1,15096,15096,1,27983
243,2015-10-27,11575,-1,25263,25263,1,27984
244,2015-10-30,16045,-1,12135,12135,1,27985
245,2015-10-25,15456,-1,29124,29124,1,27986
246,2015-10-31,12981,-1,20143,20143,1,27987
247,2015-10-29,13189,-1,25517,25517,1,27988
248,2015-10-31,13577,-1,15776,15776,1,27989
249,2015-10-26,13605,-1,27067,27067,1,27990
250,2015-11-02,13800,-1,15518,15518,1,27991
251,2015-10-31,19186,-1,25100,25100,1,27992
252,2015-10-27,21167,-1,25658,25658,1,27993
253,2015-10-31,24606,-1,17968,17968,1,27994
254,2015-10-29,11470,-1,19417,19417,1,27995
255,2015-10-27,15084,-1,16166,16166,1,27996
256,2015-10-24,12926,-1,17834,17834,1,27997
257,2015-10-30,13224,-1,12041,12041,1,27998
258,2015-10-28,15167,-1,19528,19528,1,27999
259,2015-10-31,12572,-1,21097,21097,1,28000
260,2015-10-31,25960,-1,22439,22439,1,28001
261,2015-10-26,26241,-1,15428,15428,1,28002
262,2015-11-02,13565,-1,11688,11688,1,28003
263,2015-10-25,15933,-1,23698,23698,1,28004
264,2015-10-29,28669,-1,25515,25515,1,28005
265,2015-10-30,26021,-1,27887,27887,1,28006
266,2015-10-30,19173,-1,21184,21184,1,28007
267,2015-10-24,12921,-1,12815,12815,1,28008
268,2015-10-30,28659,-1,16453,16453,1,28009
269,2015-11-02,26120,-1,13136,13136,1,28010
270,2015-11-01,26183,-1,24925,24925,1,28011
271,2015-11-01,15189,-1,21805,21805,1,28012
272,2015-10-29,21179,-1,21990,21990,1,28013
273,2015-10-31,21205,-1,25317,25317,1,28014
274,2015-10-28,13999,-1,14943,14943,1,28015
275,2015-10-30,21194,-1,29113,29113,1,28016
276,2015-10-30,21203,-1,19996,19996,1,28017
277,2015-11-01,21000,-1,17366,17366,1,28018
278,2015-11-02,12353,-1,20138,20138,1,28019
279,2015-10-30,17080,-1,17222,17222,1,28020
280,2015-10-24,16053,-1,16941,16941,1,28021
281,2015-10-27,12950,-1,19348,19348,1,28022
282,2015-10-28,13087,-1,13093,13093,1,28023
283,2015-11-01,21189,-1,22953,22953,1,28024
284,2015-10-26,20998,-1,14534,14534,1,28025
285,2015-10-28,20710,-1,14120,14120,1,28026
286,2015-10-29,24832,-1,20257,20257,1,28027
287,2015-10-26,13177,-1,12571,12571,1,28028
288,2015-10-26,26245,-1,24186,24186,1,28029
289,2015-10-29,26276,-1,11652,11652,1,28030
290,2015-10-25,15196,-1,24487,24487,1,28031
291,2015-10-31,21202,-1,22974,22974,1,28032
292,2015-10-24,26022,-1,11476,11476,1,28033
293,2015-10-28,11481,-1,11512,11512,1,28034
294,2015-10-29,11609,-1,14497,14497,1,28035
295,2015-10-24,13088,-1,28238,28238,1,28036
296,2015-10-30,13176,-1,13201,13201,1,28037
297,2015-10-27,13203,-1,17770,17770,1,28038
298,2015-10-26,21165,-1,23449,23449,1,28039
299,2015-11-02,21169,-1,24534,24534,1,28040
300,2015-10-31,12358,-1,20368,20368,1,28041
301,2015-10-26,13246,-1,19110,19110,1,28042
302,2015-10-28,14017,-1,20085,20085,1,28043
303,2015-11-01,14025,-1,15200,15200,1,28044
304,2015-10-24,15667,-1,23802,23802,1,28045
305,2015-10-30,20062,-1,25954,25954,1,28046
306,2015-10-26,25287,-1,17118,17118,1,28047
307,2015-10-26,26293,-1,28259,28259,1,28048
308,2015-10-27,12685,-1,22037,22037,1,28049
309,2015-10-24,12588,-1,25514,25514,1,28050
310,2015-10-26,16329,-1,11469,11469,1,28051
311,2015-10-26,13248,-1,20306,20306,1,28052
312,2015-10-27,13359,-1,22934,22934,1,28053
313,2015-10-28,26302,-1,26701,26701,1,28054
314,2015-11-02,15203,-1,27232,27232,1,28055
315,2015-10-29,15254,-1,16560,16560,1,28056
316,2015-10-27,15288,-1,15487,15487,1,28057
317,2015-11-02,21561,-1,23981,23981,1,28058
318,2015-10-25,16311,-1,26064,26064,1,28059
319,2015-10-25,13378,-1,11792,11792,1,28060
320,2015-10-29,13383,-1,19609,19609,1,28061
321,2015-10-30,11839,-1,27625,27625,1,28062
322,2015-10-27,14756,-1,24527,24527,1,28063
323,2015-10-31,25918,-1,13561,13561,1,28064
324,2015-10-28,23583,-1,20795,20795,1,28065
325,2015-10-30,11778,-1,12444,12444,1,28066
326,2015-10-24,23806,-1,28458,28458,1,28067
327,2015-10-30,11826,-1,14540,14540,1,28068
328,2015-10-26,11831,-1,15784,15784,1,28069
329,2015-10-28,12749,-1,13137,13137,1,28070
330,2015-10-28,20236,-1,12833,12833,1,28071
331,2015-10-28,20220,-1,23030,23030,1,28072
332,2015-10-29,11912,-1,24567,24567,1,28073
333,2015-10-29,11917,-1,20247,20247,1,28074
334,2015-10-28,11489,-1,17918,17918,1,28075
335,2015-10-26,11705,-1,17522,17522,1,28076
336,2015-10-31,23511,-1,27890,27890,1,28077
337,2015-10-29,11885,-1,13185,13185,1,28078
338,2015-10-28,11886,-1,18868,18868,1,28079
339,2015-10-31,11663,-1,13331,13331,1,28080
340,2015-10-25,14752,-1,13397,13397,1,28081
341,2015-10-30,20228,-1,28556,28556,1,28082
342,2015-10-25,19971,-1,27143,27143,1,28083
343,2015-10-26,11968,-1,25617,25617,1,28084
344,2015-10-31,12018,-1,22766,22766,1,28085
345,2015-10-27,12167,-1,24907,24907,1,28086
346,2015-10-27,12169,-1,12969,12969,1,28087
347,2015-10-25,11937,-1,14016,14016,1,28088
348,2015-11-01,11945,-1,26981,26981,1,28089
349,2015-10-24,12053,-1,12509,12509,1,28090
350,2015-10-26,14912,-1,20930,20930,1,28091
351,2015-11-02,20446,-1,21732,21732,1,28092
352,2015-10-27,20611,-1,16596,16596,1,28093
353,2015-10-31,12023,-1,12865,12865,1,28094
354,2015-10-24,12069,-1,23267,23267,1,28095
355,2015-10-26,24284,-1,17120,17120,1,28096
356,2015-10-24,12152,-1,23638,23638,1,28097
357,2015-11-01,20447,-1,13754,13754,1,28098
358,2015-11-01,11956,-1,17112,17112,1,28099
359,2015-10-29,14883,-1,12361,12361,1,28100
360,2015-10-31,14895,-1,26000,26000,1,28101
361,2015-10-31,14945,-1,21471,21471,1,28102
362,2015-10-25,20420,-1,12141,12141,1,28103
363,2015-10-28,11954,-1,28045,28045,1,28104
364,2015-11-01,23865,-1,23206,23206,1,28105
365,2015-11-02,12105,-1,21269,21269,1,28106
366,2015-11-02,20259,-1,20571,20571,1,28107
367,2015-10-29,20416,-1,14384,14384,1,28108
368,2015-10-30,20426,-1,24987,24987,1,28109
369,2015-11-02,20600,-1,27012,27012,1,28110
370,2015-10-28,13405,-1,15545,15545,1,28111
371,2015-11-02,11977,-1,12727,12727,1,28112
372,2015-10-31,11991,-1,16932,16932,1,28113
373,2015-10-31,19501,-1,18428,18428,1,28114
374,2015-10-30,24310,-1,12343,12343,1,28115
375,2015-10-25,26090,-1,23587,23587,1,28116
376,2015-10-27,26094,-1,21706,21706,1,28117
377,2015-10-28,14881,-1,14342,14342,1,28118
378,2015-10-29,19476,-1,21543,21543,1,28119
379,2015-11-02,12052,-1,17702,17702,1,28120
380,2015-10-24,12120,-1,22496,22496,1,28121
381,2015-10-28,20569,-1,28755,28755,1,28122
382,2015-10-24,26082,-1,27051,27051,1,28123
383,2015-10-24,25928,-1,25893,25893,1,28124
384,2015-10-29,11989,-1,25663,25663,1,28125
385,2015-10-30,12118,-1,28663,28663,1,28126
386,2015-10-31,26056,-1,26517,26517,1,28127
387,2015-10-28,25926,-1,27523,27523,1,28128
388,2015-10-25,11996,-1,28071,28071,1,28129
389,2015-10-24,11412,-1,11923,11923,1,28130
390,2015-10-30,12819,-1,14318,14318,1,28131
391,2015-11-02,12163,-1,14553,14553,1,28132
392,2015-10-26,12042,-1,25535,25535,1,28133
393,2015-11-02,12079,-1,23723,23723,1,28134
394,2015-10-30,12141,-1,20223,20223,1,28135
395,2015-10-27,15657,-1,22927,22927,1,28136
396,2015-10-29,11997,-1,28786,28786,1,28137
397,2015-10-27,25936,-1,18877,18877,1,28138
398,2015-11-01,12094,-1,17884,17884,1,28139
399,2015-10-30,12156,-1,12759,12759,1,28140
400,2015-10-25,24342,-1,25272,25272,1,28141
401,2015-10-26,12030,-1,16491,16491,1,28142
402,2015-10-27,20608,-1,13903,13903,1,28143
403,2015-10-26,12003,-1,15048,15048,1,28144
404,2015-10-26,11491,-1,25167,25167,1,28145
405,2015-10-28,12102,-1,22784,22784,1,28146
406,2015-10-27,25937,-1,22661,22661,1,28147
407,2015-10-30,11983,-1,15254,15254,1,28148
408,2015-10-29,12084,-1,21979,21979,1,28149
409,2015-11-01,12004,-1,11920,11920,1,28150
410,2015-10-24,11995,-1,11930,11930,1,28151
411,2015-10-26,28492,-1,26351,26351,1,28152
412,2015-11-01,14834,-1,18734,18734,1,28153
413,2015-10-27,15632,-1,25700,25700,1,28154
414,2015-11-01,12041,-1,13354,13354,1,28155
415,2015-11-01,24235,-1,20480,20480,1,28156
416,2015-10-30,20430,-1,18144,18144,1,28157
417,2015-11-02,15653,-1,20912,20912,1,28158
418,2015-11-01,12830,-1,25952,25952,1,28159
419,2015-10-31,18634,-1,28067,28067,1,28160
420,2015-10-28,11939,-1,14842,14842,1,28161
421,2015-11-01,12027,-1,12437,12437,1,28162
422,2015-11-01,26061,-1,14638,14638,1,28163
423,2015-10-25,26089,-1,26332,26332,1,28164
424,2015-11-02,20256,-1,22720,22720,1,28165
425,2015-10-27,20260,-1,26894,26894,1,28166
426,2015-10-29,20610,-1,14556,14556,1,28167
427,2015-10-28,11999,-1,26142,26142,1,28168
428,2015-11-01,11988,-1,29024,29024,1,28169
429,2015-10-31,20023,-1,22716,22716,1,28170
430,2015-10-30,20284,-1,18796,18796,1,28171
431,2015-11-01,12849,-1,25304,25304,1,28172
432,2015-11-02,12866,-1,27590,27590,1,28173
433,2015-10-24,18163,-1,14905,14905,1,28174
434,2015-11-01,12173,-1,13562,13562,1,28175
435,2015-10-28,12050,-1,26009,26009,1,28176
436,2015-11-02,20429,-1,27351,27351,1,28177
437,2015-10-25,20456,-1,11844,11844,1,28178
438,2015-11-02,20614,-1,11607,11607,1,28179
439,2015-10-26,24332,-1,21127,21127,1,28180
440,2015-10-26,24344,-1,18189,18189,1,28181
441,2015-10-31,14891,-1,14802,14802,1,28182
442,2015-10-26,14892,-1,17077,17077,1,28183
443,2015-10-25,14902,-1,16766,16766,1,28184
444,2015-10-29,20261,-1,17980,17980,1,28185
445,2015-11-02,13263,-1,13662,13662,1,28186
446,2015-10-31,11990,-1,23061,23061,1,28187
447,2015-10-27,11993,-1,13978,13978,1,28188
448,2015-11-01,11395,-1,15124,15124,1,28189
449,2015-10-27,11493,-1,21231,21231,1,28190
450,2015-10-25,12016,-1,19721,19721,1,28191
451,2015-10-27,12058,-1,18919,18919,1,28192
452,2015-10-30,23867,-1,21688,21688,1,28193
453,2015-10-30,12110,-1,13840,13840,1,28194
454,2015-11-01,12151,-1,23268,23268,1,28195
455,2015-10-31,12001,-1,11547,11547,1,28196
456,2015-11-01,14927,-1,28048,28048,1,28197
457,2015-10-25,23868,-1,21868,21868,1,28198
458,2015-10-25,20034,-1,12849,12849,1,28199
459,2015-10-24,20423,-1,28907,28907,1,28200
460,2015-10-24,20613,-1,28940,28940,1,28201
461,2015-11-02,13504,-1,15115,15115,1,28202
462,2015-10-24,14967,-1,17618,17618,1,28203
463,2015-10-30,12143,-1,25086,25086,1,28204
464,2015-10-26,14882,-1,29025,29025,1,28205
465,2015-11-01,12000,-1,21669,21669,1,28206
466,2015-10-29,14940,-1,17393,17393,1,28207
467,2015-10-31,11998,-1,13688,13688,1,28208
468,2015-10-24,12082,-1,12719,12719,1,28209
469,2015-10-28,12096,-1,16970,16970,1,28210
470,2015-11-02,20451,-1,21215,21215,1,28211
471,2015-10-24,11992,-1,17527,17527,1,28212
472,2015-10-25,12160,-1,21968,21968,1,28213
473,2015-11-02,12025,-1,15510,15510,1,28214
474,2015-10-31,12108,-1,26750,26750,1,28215
475,2015-10-28,26075,-1,21189,21189,1,28216
476,2015-10-25,20445,-1,20652,20652,1,28217
477,2015-10-24,12834,-1,25581,25581,1,28218
478,2015-10-27,28491,-1,17949,17949,1,28219
479,2015-10-24,11934,-1,15683,15683,1,28220
480,2015-10-31,20425,-1,23249,23249,1,28221
481,2015-10-29,20448,-1,27482,27482,1,28222
482,2015-11-01,20615,-1,11411,11411,1,28223
483,2015-10-24,15638,-1,14017,14017,1,28224
484,2015-10-25,24309,-1,26909,26909,1,28225
485,2015-11-01,12172,-1,22827,22827,1,28226
486,2015-10-24,26060,-1,24757,24757,1,28227
487,2015-10-25,26070,-1,14932,14932,1,28228
488,2015-10-24,20450,-1,22253,22253,1,28229
489,2015-10-25,20612,-1,22500,22500,1,28230
490,2015-10-24,19482,-1,11794,11794,1,28231
491,2015-11-01,19496,-1,17197,17197,1,28232
492,2015-10-29,12155,-1,19718,19718,1,28233
493,2015-10-25,12121,-1,26825,26825,1,28234
494,2015-10-27,26057,-1,12800,12800,1,28235
495,2015-10-29,26058,-1,18540,18540,1,28236
496,2015-10-30,26093,-1,29079,29079,1,28237
497,2015-11-01,14888,-1,28976,28976,1,28238
498,2015-10-28,12005,-1,18243,18243,1,28239
499,2015-10-27,18175,-1,26941,26941,1,28240
500,2015-10-30,12026,-1,22996,22996,1,28241
501,2015-10-29,12059,-1,14419,14419,1,28242
502,2015-10-30,26066,-1,20997,20997,1,28243
503,2015-10-28,20258,-1,17675,17675,1,28244
504,2015-10-29,11986,-1,11699,11699,1,28245
505,2015-11-02,20567,-1,14329,14329,1,28246
506,2015-10-28,12170,-1,18163,18163,1,28247
507,2015-11-02,12033,-1,11535,11535,1,28248
508,2015-10-25,12071,-1,26345,26345,1,28249
509,2015-10-30,20264,-1,19413,19413,1,28250
510,2015-11-02,20452,-1,21172,21172,1,28251
511,2015-11-01,12817,-1,15799,15799,1,28252
512,2015-10-28,12083,-1,21803,21803,1,28253
513,2015-10-31,25922,-1,28064,28064,1,28254
514,2015-10-24,12002,-1,12209,12209,1,28255
515,2015-10-28,14952,-1,28678,28678,1,28256
516,2015-10-26,12164,-1,15140,15140,1,28257
517,2015-10-25,20427,-1,25904,25904,1,28258
518,2015-11-01,20609,-1,22198,22198,1,28259
519,2015-10-30,11994,-1,26561,26561,1,28260
520,2015-10-29,25938,-1,15940,15940,1,28261
521,2015-10-28,12841,-1,12646,12646,1,28262
522,2015-10-25,12078,-1,24752,24752,1,28263
523,2015-10-30,12112,-1,16740,16740,1,28264
524,2015-10-31,12142,-1,17729,17729,1,28265
525,2015-10-29,26083,-1,20588,20588,1,28266
526,2015-11-01,14884,-1,18646,18646,1,28267
527,2015-10-24,20444,-1,13914,13914,1,28268
528,2015-10-24,12103,-1,20661,20661,1,28269
529,2015-10-24,26084,-1,14675,14675,1,28270
530,2015-10-24,14894,-1,25877,25877,1,28271
531,2015-10-29,12440,-1,25768,25768,1,28272
532,2015-10-26,20995,-1,23846,23846,1,28273
533,2015-10-30,13537,-1,24160,24160,1,28274
534,2015-11-01,15695,-1,19905,19905,1,28275
