,BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
63,1778,,959,2010-06-19,,EA ,0,1.0,2010-06-05
64,3102,,960,2010-12-15,,EA ,0,1.0,2010-12-01
65,2027,,961,2010-07-08,,EA ,0,1.0,2010-06-24
66,1698,,962,2010-06-19,,EA ,0,1.0,2010-06-05
67,3059,,963,2010-12-15,,EA ,0,1.0,2010-12-01
68,879,,964,2010-05-26,,EA ,0,1.0,2010-05-12
69,1789,,965,2010-06-19,,EA ,0,1.0,2010-06-05
70,3037,,966,2010-12-15,,EA ,0,1.0,2010-12-01
71,3304,,967,2010-12-23,,EA ,0,1.0,2010-12-09
72,2801,,968,2010-09-15,,EA ,0,1.0,2010-09-01
73,1779,,969,2010-06-19,,EA ,0,1.0,2010-06-05
74,419,,970,2010-03-18,,EA ,0,1.0,2010-03-04
75,73,,971,2010-03-04,,EA ,0,1.0,2010-02-18
76,1071,,972,2010-05-26,2010-07-25,EA ,0,1.0,2010-07-25
77,867,,972,2010-07-26,,EA ,0,1.0,2010-07-12
78,2993,,973,2010-12-15,,EA ,0,1.0,2010-12-01
79,33,,974,2010-03-04,,EA ,0,1.0,2010-02-18
80,829,,975,2010-05-26,,EA ,0,1.0,2010-05-12
81,2073,,976,2010-07-08,,EA ,0,1.0,2010-06-24
82,103,,977,2010-03-04,,EA ,0,1.0,2010-02-18
83,1668,,978,2010-06-19,,EA ,0,1.0,2010-06-05
84,3036,,979,2010-12-15,,EA ,0,1.0,2010-12-01
85,1641,,980,2010-06-19,,EA ,0,1.0,2010-06-05
86,392,,981,2010-03-18,,EA ,0,1.0,2010-03-04
87,51,,982,2010-03-04,,EA ,0,1.0,2010-02-18
88,850,,983,2010-05-26,,EA ,0,1.0,2010-05-12
89,1194,,984,2010-06-09,,EA ,0,1.0,2010-05-26
90,3016,,985,2010-12-15,,EA ,0,1.0,2010-12-01
91,3280,,986,2010-12-23,,EA ,0,1.0,2010-12-09
92,2782,,987,2010-09-15,,EA ,0,1.0,2010-09-01
93,2422,,988,2010-08-05,,EA ,0,1.0,2010-07-22
94,3,,989,2010-03-04,,EA ,0,1.0,2010-02-18
95,2735,,990,2010-09-15,,EA ,0,1.0,2010-09-01
96,2360,,991,2010-08-05,,EA ,0,1.0,2010-07-22
97,1262,,992,2010-06-09,,EA ,0,1.0,2010-05-26
98,481,,993,2010-03-18,,EA ,0,1.0,2010-03-04
99,809,,997,2010-05-26,,EA ,0,1.0,2010-05-12
100,2050,,998,2010-07-08,,EA ,0,1.0,2010-06-24
101,1938,,999,2010-06-19,2010-08-18,EA ,0,1.0,2010-08-18
102,1731,,999,2010-08-19,,EA ,0,1.0,2010-08-05
103,2000,3.0,2,2010-07-08,,EA ,3,10.0,2010-06-24
104,1657,3.0,461,2010-06-19,,EA ,3,1.0,2010-06-05
105,389,3.0,504,2010-03-18,,EA ,3,2.0,2010-03-04
106,805,3.0,505,2010-05-26,,EA ,3,2.0,2010-05-12
107,2433,316.0,486,2010-08-05,,EA ,4,1.0,2010-07-22
108,1290,324.0,486,2010-06-09,,EA ,3,1.0,2010-05-26
109,875,327.0,483,2010-05-26,,EA ,3,1.0,2010-05-12
110,3337,328.0,482,2010-12-23,,EA ,3,1.0,2010-12-09
111,2806,329.0,482,2010-09-15,,EA ,3,1.0,2010-09-01
112,2432,330.0,482,2010-08-05,,EA ,3,1.0,2010-07-22
113,1289,331.0,482,2010-06-09,,EA ,4,1.0,2010-05-26
114,492,350.0,486,2010-03-18,,EA ,4,1.0,2010-03-04
115,876,398.0,487,2010-05-26,,EA ,3,1.0,2010-05-12
116,3338,399.0,485,2010-12-23,,EA ,3,1.0,2010-12-09
117,543,400.0,523,2010-03-18,,EA ,3,1.0,2010-03-04
118,2162,400.0,525,2010-07-08,,EA ,3,1.0,2010-06-24
119,935,401.0,524,2010-05-26,,EA ,3,1.0,2010-05-12
120,2487,401.0,526,2010-08-05,,EA ,3,1.0,2010-07-22
121,2327,514.0,497,2010-08-05,,EA ,2,4.0,2010-07-22
122,3138,514.0,528,2010-12-15,,EA ,2,1.0,2010-12-01
123,1830,514.0,530,2010-06-19,,EA ,2,1.0,2010-06-05
124,3135,514.0,908,2010-12-15,,EA ,2,1.0,2010-12-01
125,1219,515.0,497,2010-06-09,,EA ,2,4.0,2010-05-26
126,3400,515.0,528,2010-12-23,,EA ,2,1.0,2010-12-09
127,3140,515.0,530,2010-12-15,,EA ,2,1.0,2010-12-01
128,2858,515.0,909,2010-09-15,,EA ,2,1.0,2010-09-01
129,386,516.0,497,2010-03-18,,EA ,2,4.0,2010-03-04
130,2862,516.0,528,2010-09-15,,EA ,2,1.0,2010-09-01
131,3402,516.0,530,2010-12-23,,EA ,2,1.0,2010-12-09
132,1357,516.0,910,2010-06-09,,EA ,2,1.0,2010-05-26
133,28,517.0,497,2010-03-04,,EA ,2,4.0,2010-02-18
134,2489,517.0,528,2010-08-05,,EA ,2,1.0,2010-07-22
135,2864,517.0,530,2010-09-15,,EA ,2,1.0,2010-09-01
136,348,517.0,911,2010-03-04,2010-05-03,EA ,1,2.0,2010-05-03
137,140,517.0,911,2010-05-04,,EA ,2,1.0,2010-04-20
138,1032,518.0,497,2010-05-26,2010-07-25,EA ,1,5.0,2010-07-25
139,803,518.0,497,2010-07-26,,EA ,2,4.0,2010-07-12
140,1360,518.0,528,2010-06-09,,EA ,2,1.0,2010-05-26
141,2491,518.0,530,2010-08-05,,EA ,2,1.0,2010-07-22
142,2161,518.0,912,2010-07-08,,EA ,2,1.0,2010-06-24
143,2022,519.0,497,2010-07-08,,EA ,2,4.0,2010-06-24
144,546,519.0,528,2010-03-18,,EA ,2,1.0,2010-03-04
145,1362,519.0,530,2010-06-09,,EA ,2,1.0,2010-05-26
146,3136,519.0,913,2010-12-15,,EA ,2,1.0,2010-12-01
147,1660,520.0,497,2010-06-19,,EA ,2,4.0,2010-06-05
148,144,520.0,528,2010-03-04,,EA ,2,1.0,2010-02-18
149,548,520.0,530,2010-03-18,,EA ,2,1.0,2010-03-04
150,2859,520.0,914,2010-09-15,,EA ,2,1.0,2010-09-01
151,3012,521.0,497,2010-12-15,,EA ,2,4.0,2010-12-01
152,938,521.0,528,2010-05-26,,EA ,2,1.0,2010-05-12
153,146,521.0,530,2010-03-04,,EA ,2,1.0,2010-02-18
154,1358,521.0,915,2010-06-09,,EA ,2,1.0,2010-05-26
155,3239,522.0,497,2010-12-23,,EA ,2,4.0,2010-12-09
156,2165,522.0,528,2010-07-08,,EA ,2,1.0,2010-06-24
157,1124,522.0,530,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
158,940,522.0,530,2010-07-26,,EA ,2,1.0,2010-07-12
159,141,522.0,916,2010-03-04,,EA ,2,1.0,2010-02-18
160,1288,529.0,477,2010-06-09,,EA ,3,1.0,2010-05-26
161,2094,531.0,487,2010-07-08,,EA ,4,1.0,2010-06-24
162,1956,532.0,484,2010-06-19,2010-08-18,EA ,2,2.0,2010-08-18
163,1769,532.0,484,2010-08-19,,EA ,3,1.0,2010-08-05
164,100,533.0,478,2010-03-04,,EA ,3,1.0,2010-02-18
165,491,534.0,482,2010-03-18,,EA ,3,1.0,2010-03-04
166,1445,680.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
167,1881,680.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
168,3453,680.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
169,2541,680.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
170,3190,680.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
171,1617,680.0,492,2010-06-09,2010-08-08,OZ ,1,9.0,2010-08-08
172,1446,680.0,492,2010-08-09,,OZ ,2,8.0,2010-07-26
173,626,680.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
174,987,680.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
175,220,680.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
176,219,680.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
177,776,706.0,324,2010-03-18,,EA ,2,2.0,2010-03-04
178,1999,706.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
179,3482,706.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
180,2709,706.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
181,3215,706.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
182,777,706.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
183,778,706.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
184,1190,706.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
185,779,706.0,534,2010-05-06,,EA ,2,1.0,2010-04-22
186,360,706.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
187,1453,717.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
188,1887,717.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
189,3459,717.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
190,2547,717.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
191,3196,717.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
192,771,717.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
193,636,717.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
194,637,717.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
195,993,717.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
196,232,717.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
197,231,717.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
198,1449,718.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
199,1883,718.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
200,3455,718.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
201,2689,718.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
202,2543,718.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
203,3192,718.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
204,628,718.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
205,629,718.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
206,989,718.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
207,224,718.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
208,223,718.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
209,1450,719.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
210,1884,719.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
211,3456,719.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
212,2544,719.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
213,3193,719.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
214,770,719.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
215,630,719.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
216,631,719.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
217,990,719.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
218,226,719.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
219,225,719.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
220,1451,720.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
221,1885,720.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
222,3457,720.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
223,2545,720.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
224,3194,720.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
225,632,720.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
226,633,720.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
227,1167,720.0,533,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
228,991,720.0,533,2010-07-26,,EA ,2,1.0,2010-07-12
229,228,720.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
230,227,720.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
231,1452,721.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
232,1886,721.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
233,3458,721.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
234,2546,721.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
235,3195,721.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
236,634,721.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
237,635,721.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
238,992,721.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
239,230,721.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
240,229,721.0,804,2010-03-04,,EA ,2,1.0,2010-02-18
241,1409,722.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
242,1860,722.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
243,3432,722.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
244,2520,722.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
245,3169,722.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
246,1411,722.0,492,2010-06-09,,OZ ,2,8.0,2010-05-26
247,585,722.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
248,1151,722.0,533,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
249,966,722.0,533,2010-07-26,,EA ,2,1.0,2010-07-12
250,195,722.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
251,1410,722.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
252,1412,723.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
253,1861,723.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
254,3433,723.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
255,2521,723.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
256,3170,723.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
257,1414,723.0,492,2010-06-09,,OZ ,2,8.0,2010-05-26
258,586,723.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
259,967,723.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
260,196,723.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
261,1413,723.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
262,1602,724.0,324,2010-06-09,2010-08-08,EA ,1,3.0,2010-08-08
263,1415,724.0,324,2010-08-09,,EA ,2,2.0,2010-07-26
264,1862,724.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
265,3434,724.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
266,2522,724.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
267,3171,724.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
268,1417,724.0,492,2010-06-09,,OZ ,2,8.0,2010-05-26
269,587,724.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
270,968,724.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
271,197,724.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
272,1416,724.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
273,1418,725.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
274,1863,725.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
275,3435,725.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
276,2675,725.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
277,2523,725.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
278,3172,725.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
279,588,725.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
280,589,725.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
281,969,725.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
282,198,725.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
283,1419,725.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
284,1420,726.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
285,1864,726.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
286,3436,726.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
287,2524,726.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
288,3173,726.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
289,766,726.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
290,590,726.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
291,591,726.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
292,970,726.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
293,199,726.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
294,1421,726.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
295,1422,727.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
296,1865,727.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
297,3437,727.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
298,2525,727.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
299,3174,727.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
300,592,727.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
301,593,727.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
302,1152,727.0,533,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
303,971,727.0,533,2010-07-26,,EA ,2,1.0,2010-07-12
304,200,727.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
305,1423,727.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
306,1603,728.0,324,2010-06-09,2010-08-08,EA ,1,3.0,2010-08-08
307,1424,728.0,324,2010-08-09,,EA ,2,2.0,2010-07-26
308,1866,728.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
309,3438,728.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
310,2526,728.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
311,3175,728.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
312,594,728.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
313,595,728.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
314,972,728.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
315,201,728.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
316,1425,728.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
317,1426,729.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
318,1867,729.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
319,3439,729.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
320,2676,729.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
321,2527,729.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
322,3176,729.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
323,596,729.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
324,597,729.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
325,973,729.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
326,202,729.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
327,1427,729.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
328,1428,730.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
329,1868,730.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
330,3440,730.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
331,2528,730.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
332,3177,730.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
333,767,730.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
334,598,730.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
335,599,730.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
336,974,730.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
337,203,730.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
338,1429,730.0,802,2010-06-09,,EA ,2,1.0,2010-05-26
339,1430,731.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
340,1869,731.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
341,3441,731.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
342,2682,731.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
343,2529,731.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
344,3178,731.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
345,601,731.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
346,602,731.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
347,975,731.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
348,204,731.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
349,600,731.0,803,2010-03-18,,EA ,2,1.0,2010-03-04
350,1431,732.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
351,1870,732.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
352,3442,732.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
353,2530,732.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
354,3179,732.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
355,768,732.0,493,2010-03-18,2010-05-17,OZ ,1,9.0,2010-05-17
356,604,732.0,493,2010-05-18,,OZ ,2,8.0,2010-05-04
357,605,732.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
358,976,732.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
359,205,732.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
360,603,732.0,803,2010-03-18,,EA ,2,1.0,2010-03-04
361,1432,733.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
362,1871,733.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
363,3443,733.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
364,2531,733.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
365,3180,733.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
366,607,733.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
367,608,733.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
368,1160,733.0,533,2010-05-26,2010-07-25,EA ,1,2.0,2010-07-25
369,977,733.0,533,2010-07-26,,EA ,2,1.0,2010-07-12
370,206,733.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
371,606,733.0,803,2010-03-18,,EA ,2,1.0,2010-03-04
372,1611,734.0,324,2010-06-09,2010-08-08,EA ,1,3.0,2010-08-08
373,1433,734.0,324,2010-08-09,,EA ,2,2.0,2010-07-26
374,1872,734.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
375,3444,734.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
376,2532,734.0,327,2010-08-05,,EA ,2,1.0,2010-07-22
377,3181,734.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
378,610,734.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
379,611,734.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
380,978,734.0,533,2010-05-26,,EA ,2,1.0,2010-05-12
381,207,734.0,534,2010-03-04,,EA ,2,1.0,2010-02-18
382,609,734.0,803,2010-03-18,,EA ,2,1.0,2010-03-04
383,1434,735.0,324,2010-06-09,,EA ,2,2.0,2010-05-26
384,1873,735.0,325,2010-06-19,,EA ,2,2.0,2010-06-05
385,3445,735.0,326,2010-12-23,,EA ,2,1.0,2010-12-09
386,2683,735.0,327,2010-08-05,2010-10-04,EA ,1,2.0,2010-10-04
387,2533,735.0,327,2010-10-05,,EA ,2,1.0,2010-09-21
388,3182,735.0,399,2010-12-15,,EA ,2,1.0,2010-12-01
389,613,735.0,493,2010-03-18,,OZ ,2,8.0,2010-03-04
390,614,735.0,532,2010-03-18,,EA ,2,4.0,2010-03-04
